Index,Reconstruction_Error,Anomaly_Score,Is_Anomaly,Severity,Date,Top_Problematic_Features
162,0.6231324084744598,0.8940734777915544,False,Normal,2020-07-11,
163,0.6227952757106582,0.8935897580258829,False,Normal,2020-07-12,
164,0.5997786928390657,0.8605654504870371,False,Normal,2020-07-13,
165,0.6145023510030581,0.8816910284243532,False,Normal,2020-07-14,
166,0.609985335311033,0.8752099918515726,False,Normal,2020-07-15,
167,0.5898315777153389,0.8462932802520847,False,Normal,2020-07-16,
168,0.5784097907609845,0.8299052435427208,False,Normal,2020-07-17,
169,0.5969854106127128,0.8565576352609238,False,Normal,2020-07-18,
170,0.6273138975315354,0.9000730990803261,False,Normal,2020-07-19,
171,0.6250452253163982,0.89681799690658,False,Normal,2020-07-20,
172,0.6259399272549738,0.89810171969636,False,Normal,2020-07-21,
173,0.6326054084253742,0.9076653852193324,False,Normal,2020-07-22,
174,0.6205810937300685,0.8904128387115823,False,Normal,2020-07-23,
175,0.6196434557241798,0.8890675110389503,False,Normal,2020-07-24,
176,0.6012294324034133,0.8626469788268029,False,Normal,2020-07-25,
177,0.6183464289809896,0.8872065306192162,False,Normal,2020-07-26,
178,0.621704402937291,0.8920245683470147,False,Normal,2020-07-27,
179,0.6008499235094216,0.8621024575788474,False,Normal,2020-07-28,
180,0.5764086628755428,0.8270340153034085,False,Normal,2020-07-29,
181,0.5937545864226086,0.8519220326498328,False,Normal,2020-07-30,
182,0.5833860750503419,0.8370452409823622,False,Normal,2020-07-31,
183,0.5849780132213234,0.8393293617849426,False,Normal,2020-08-01,
184,0.5710475922873366,0.8193419245690843,False,Normal,2020-08-02,
185,0.5856667132643707,0.8403175120308108,False,Normal,2020-08-03,
186,0.5895201198584621,0.8458463989705204,False,Normal,2020-08-04,
187,0.5829466295484904,0.8364147223914545,False,Normal,2020-08-05,
188,0.5826500087241603,0.8359891293579554,False,Normal,2020-08-06,
189,0.5676314134501728,0.8144403741888392,False,Normal,2020-08-07,
190,0.5765341597216417,0.8272140788021409,False,Normal,2020-08-08,
191,0.5952904786135497,0.8541257384015998,False,Normal,2020-08-09,
192,0.5886836921937095,0.8446462883985518,False,Normal,2020-08-10,
193,0.6000285556822471,0.860923954936711,False,Normal,2020-08-11,
194,0.6063389376031867,0.8699781222910618,False,Normal,2020-08-12,
195,0.590262380121536,0.8469113976863754,False,Normal,2020-08-13,
196,0.5854717003085316,0.8400377064722003,False,Normal,2020-08-14,
197,0.5882922142826944,0.8440845939454632,False,Normal,2020-08-15,
198,0.6022768687161676,0.8641498456560247,False,Normal,2020-08-16,
199,0.5968994650898057,0.8564343201973496,False,Normal,2020-08-17,
200,0.6095213280476394,0.8745442319230872,False,Normal,2020-08-18,
201,0.6228835699963181,0.8937164431059325,False,Normal,2020-08-19,
202,0.6284869687308678,0.9017562274694463,False,Normal,2020-08-20,
203,0.6099360495364173,0.8751392763771132,False,Normal,2020-08-21,
204,0.6072693615246443,0.8713130991594846,False,Normal,2020-08-22,
205,0.6123679061683163,0.8786285163633551,False,Normal,2020-08-23,
206,0.6166835865430021,0.8848206760218112,False,Normal,2020-08-24,
207,0.6067660465702536,0.8705909403605252,False,Normal,2020-08-25,
208,0.6195987458144558,0.889003361038188,False,Normal,2020-08-26,
209,0.6380680330038571,0.9155031861238154,False,Normal,2020-08-27,
210,0.659195650378366,0.9458171965758183,False,Normal,2020-08-28,
